"V1" "V2" "V3" "V4" "V5"
"212" 0.859595 0.954475 1.013 1.074 1.194025
"213" 0.8563975 0.9605 1.02 1.079 1.201
"214" 0.864375 0.9682 1.026 1.085 1.207
"215" 0.8679 0.9702 1.031 1.091 1.213025
"216" 0.8709975 0.9748 1.034 1.094 1.225
"217" 0.874795 0.9824 1.039 1.103 1.222
"218" 0.8761975 0.98 1.042 1.104 1.22705
"219" 0.881995 0.988175 1.048 1.107 1.234
"220" 0.887795 0.993 1.053 1.115 1.239025
"221" 0.898095 0.9976 1.056 1.119 1.245
"222" 0.900195 1.001 1.061 1.125 1.247
"223" 0.8987925 1.004 1.065 1.128 1.255
"224" 0.905495 1.011 1.071 1.136 1.261
"225" 0.9128975 1.017 1.076 1.141 1.26105
"226" 0.9166 1.02075 1.081 1.146 1.268025
"227" 0.9216975 1.025 1.087 1.149 1.276025
"228" 0.9245925 1.03 1.0895 1.155 1.279
"229" 0.9260975 1.034 1.094 1.161 1.29
"230" 0.93129 1.036 1.099 1.163 1.287
"231" 0.9335925 1.043 1.104 1.168 1.3
"232" 0.938695 1.051 1.111 1.173 1.297025
"233" 0.94859 1.054 1.1155 1.179 1.314
"234" 0.9498 1.059 1.1195 1.187 1.319
"235" 0.95599 1.061 1.1225 1.19 1.32
"236" 0.9549975 1.066 1.128 1.19 1.324
"237" 0.963495 1.071 1.133 1.201 1.335
"238" 0.9669925 1.074 1.136 1.204 1.339
"239" 0.9701975 1.081 1.1425 1.213 1.347
"240" 0.970585 1.084 1.151 1.215 1.342
"241" 0.9822875 1.089 1.152 1.217 1.344
"242" 0.9788975 1.092 1.157 1.226 1.358025
"243" 0.9845775 1.098 1.162 1.229 1.364025
"244" 0.991895 1.10275 1.164 1.231 1.363025
"245" 0.9932975 1.107 1.171 1.237 1.364025
"246" 0.995895 1.112 1.176 1.243 1.371025
"247" 1.006975 1.119 1.182 1.249 1.386
"248" 1.009 1.12175 1.187 1.252 1.386
"249" 1.011 1.129 1.192 1.256 1.391025
"250" 1.02 1.131 1.196 1.263 1.398
"251" 1.022 1.136 1.202 1.269 1.402
"252" 1.028 1.138 1.203 1.275 1.408025
"253" 1.029 1.145 1.21 1.28 1.414
"254" 1.032975 1.151 1.214 1.283 1.416
"255" 1.037 1.154 1.218 1.287 1.425025
"256" 1.041 1.156 1.2215 1.293 1.431
"257" 1.049975 1.164 1.23 1.3 1.438
"258" 1.056 1.169 1.234 1.303 1.444
"259" 1.059 1.17 1.237 1.30625 1.44805
"260" 1.058975 1.177 1.241 1.314 1.457
"261" 1.059 1.18 1.248 1.316 1.451
"262" 1.062 1.189 1.255 1.324 1.458
"263" 1.077975 1.191 1.261 1.327 1.474
"264" 1.077 1.195 1.262 1.335 1.474025
"265" 1.082 1.2 1.268 1.338 1.473025
"266" 1.088 1.204 1.272 1.342 1.486
"267" 1.087975 1.21 1.274 1.346 1.489
"268" 1.093 1.212 1.281 1.35 1.499
"269" 1.099 1.22 1.285 1.358 1.498
"270" 1.106975 1.223 1.293 1.363 1.508
"271" 1.104 1.226 1.294 1.366 1.515025
"272" 1.111975 1.229 1.297 1.37 1.519025
"273" 1.109 1.236 1.306 1.378 1.519
"274" 1.118 1.239 1.308 1.38 1.522025
"275" 1.122 1.246 1.314 1.387 1.53
"276" 1.124 1.251 1.32 1.39425 1.532
"277" 1.133 1.254 1.324 1.394 1.542
"278" 1.141 1.258 1.328 1.402 1.548
"279" 1.139975 1.265 1.332 1.404 1.548
"280" 1.139 1.271 1.341 1.414 1.558
"281" 1.152975 1.272 1.345 1.41625 1.562
"282" 1.155975 1.275 1.347 1.42 1.576
"283" 1.162 1.278 1.351 1.426 1.575
"284" 1.165 1.288 1.358 1.433 1.576025
"285" 1.166 1.291 1.362 1.437 1.58
"286" 1.168 1.293 1.365 1.44 1.586
"287" 1.177 1.30075 1.373 1.44825 1.6
"288" 1.178 1.305 1.374 1.448 1.6
"289" 1.182 1.309 1.378 1.458 1.613
"290" 1.187 1.314 1.384 1.461 1.617025
"291" 1.188 1.314 1.389 1.467 1.621
"292" 1.191 1.322 1.392 1.47 1.622
"293" 1.197975 1.326 1.401 1.475 1.622
"294" 1.212 1.335 1.403 1.48 1.63
"295" 1.203975 1.339 1.409 1.486 1.636
"296" 1.21 1.34 1.4135 1.491 1.644
"297" 1.216 1.343 1.418 1.495 1.647
"298" 1.224 1.349 1.421 1.49725 1.659025
"299" 1.223 1.354 1.428 1.50625 1.66
"300" 1.228 1.356 1.432 1.509 1.655
